# type (r;w;u;1-9),class,name,comment,QQ,ZZ,PBSB,ID,field1,part (m;s),type / templates,divider / values,unit,comment,field2,part (m;s),type / templates,divider / values,unit,comment,field3,part (m;s),type / templates,divider / values,unit,comment,field4,part (m;s),type / templates,divider / values,unit,comment,field5,part (m;s),type / templates,divider / values,unit,comment,field6,part (m;s),type / templates,divider / values,unit,comment,field7,part (m;s),type / templates,divider / values,unit,comment
*w,feuerung,,,,03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,,betrd,Betriebsdaten des Reglers an den Feuerungsautomaten,,,0507,,status,,UCH,0x00=aus;0x01=keine;0x55=Brauchwasser;0xAA=Heizen;0xCC=Emisionskontrolle;0xDD=TÜV;0xEE=Reglerstop;0x66=Brauchwasser_Reglerstop;0xBB=Brauchwasser_Heizen;0x44=Reglerstop_stufig,,Statuswärmeanforderung,aktion,,UCH,0x00=keine;0x01=Kesselpumpeaus;0x02=Kesselpumpean;0x03=Verbraucheraus;0x04=Verbraucheran,,variable Verbraucher,kesselsolltemp,,temp,,,Kesselsolltemperatur,solldruck,,press,,,Kesselsollwertdruck ,stellgrad,,percent1,,,Stellgradanforderung,brauchwassersolltemp,,temp1,,,Brauchwassersolltemperatur,brennstoff,,UCH,0x00=dc;0x01=Gas;0x02=Öl;0x03=dc,,Brennstoffwahl
w,,sollw,Sollwertübertragung des Reglers an andere Regler,,,0800,,kesselsolltemp,,temp2,,,Kesselsollwert,aussentemp,,temp2,,,Außentemperatur,leistungszwang,,D1B,,%,Leistungszwang,status,,HEX,,,Status,brauchwassersolltemp,,temp2,,,Brauchwassersollwert,,,,,,,,,,,,
r,feuerung,hg01,HG 01 - Hysterese Vorlauftemperatur,,08,5022,842201,hysterese_vorlauf,,UIN,10,temp,Hysterese Vorlauftemperatur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,feuerung,hg02,HG 02 - Untere Gebläsedrehzahl,,08,5022,c14201,gebl_unten,,UIN,,min,Untere Gebläsedrehzahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,feuerung,hg03,HG 03 - Obere Gebläsedrehzahl Warmwasser,,08,5022,c14201,gebl_oben_ww,,UIN,,min,Obere Gebläsedrehzahl Warmwasser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,feuerung,hg04,HG 04 - Obere Gebläsedrehzahl Heizung,,08,5022,c14201,gebl_oben_hz,,UIN,,min,Obere Gebläsedrehzahl Heizung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,feuerung,hg05,HG 05 - Frostschutz Außentemperatur,,08,5022,c14201,frostschutz,,UIN,,min,Frostschutz Außentemperatur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,feuerung,hg06,HG 06 - Heizkreispumpenbetriebsart,,08,5022,c14201,betriebsart,,UIN,,min,Heizkreispumpenbetriebsart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,feuerung,hg07,HG 07 - Heizkreispumpennachlauf,,08,5022,c14201,pumpen_nachlauf,,UIN,,min,Heizkreispumpennachlauf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,feuerung,hg08,HG 08 - Maximale Vorlaufsolltemperatur,,08,5022,c14201,max_vorlauf_temp,,UIN,,min,Maximale Vorlaufsolltemperatur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,feuerung,hg09,HG 09 - Taktsperre,,08,5022,c14201,taktsperre,,UIN,,min,Taktsperre des Brenners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,feuerung,hg10,HG 10 - Unbekannt,,08,5022,c14201,unbekannt,,UIN,,min,Unbekannt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,feuerung,hg11,HG 11 - Unbekannt,,08,5022,c14201,unbekannt,,UIN,,min,Unbekannt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,feuerung,hg12,HG 12 - Unbekannt,,08,5022,c14201,unbekannt,,UIN,,min,Unbekannt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,feuerung,hg13,HG 13 - Eingang 1,,08,5022,c14201,eingang1,,UIN,,min,Eingang 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,feuerung,hg14,HG 14 - Ausgang 1,,08,5022,c14201,ausgang1,,UIN,,min,Ausgang 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,feuerung,hg15,HG 15 - Speicherhysterese,,08,5022,c14201,hysterese_speicher,,UIN,,min,Speicherhysterese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,feuerung,hg16,HG 16 - Pumpenleistung HK minimal,,08,5022,c14201,pumpenleistung_hk_min,,UIN,,min,Pumpenleistung HK minimal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,feuerung,hg17,HG 17 - Pumpenleistung HK maximal,,08,5022,c14201,pumpenleistung_hk_max,,UIN,,min,Pumpenleistung HK maximal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,feuerung,hg21,HG 21 - Unbekannt,,08,5022,c14201,unbekannt,,UIN,,min,Unbekannt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,feuerung,hg22,HG 22 - Unbekannt,,08,5022,c14201,unbekannt,,UIN,,min,Unbekannt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,feuerung,hg73,HG 73 - Unbekannt,,08,5022,c14201,unbekannt,,UIN,,min,Unbekannt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,feuerung,hg74,HG 74 - Unbekannt,,08,5022,c14201,unbekannt,,UIN,,min,Unbekannt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,feuerung,hg75,HG 75 - Unbekannt,,08,5022,c14201,unbekannt,,UIN,,min,Unbekannt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,feuerung,hg90,HG 90 - Unbekannt,,08,5022,c14201,unbekannt,,UIN,,min,Unbekannt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,feuerung,hg91,HG 91 - Unbekannt,,08,5022,c14201,unbekannt,,UIN,,min,Unbekannt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
